# Group Name,Address,City
Alexander AFG,15224 Alexander Road,Alexander
Circle Of Hope AFG,1606 N Franklin St,Altus
Primary Purpose Adult Children AFG,1922 Dodson,Fort Smith
Cosmo Happy Hour AFG,4724 Hillcrest Ave,Little Rock
Rose City AFG,4525 Lynch Drive,North Little Rock
Cabot Recovery AFG,301 S. Pine Street,Cabot
ODAT AFG,2701 Old Greenwood Rd,Fort Smith
Amor Fe Y Esperanza GFA,1506 W Robinson Ave,Springdale
One Day At A Time AFG,275 Asturias Drive,Hot Springs Village
Wynne Tuesday Night AFG,1201 South Falls Blvd,Wynne
9:45AM Coffee Break Womens Meeting,157 Huntsville Rd Hwy 23 S,Eureka Springs
Pine Bluff AFG,4101 Hazel Street,Pine Bluff
Quapaw Noon AFG,300 W 17th St,Little Rock
River Valley AFG,111 Quay St,Dardanelle
Monday Serenity AFG,#1 St. Bernard Lane,Bella Vista
Batesville AFG,7th and Water Street,Batesville
